id,reference,source,apercu_200_caracteres,statut
4130,Article 73,Code Général des Impôts 2026,"Article 73.- Taux de l’impôt
I.- Barème de calcul
Le barème de calcul de l'impôt sur le revenu est fixé comme suit416 :
- la tranche du revenu allant jusqu'à 40 000 dirhams est exonérée ;
- 10% pour la tranche du revenu ",a_verifier
4131,Article 74,Code Général des Impôts 2026,"Article 74.- Réduction pour charge de famille
I.- Il est déduit du montant annuel de l'impôt en raison des charges
de famille du contribuable, une somme de six cents (600) 467 dirhams par
personne à charge au sens du II ",a_verifier
4132,Article 75,Code Général des Impôts 2026,"Article 75.- Conditions d’application des réductions d’impôt pour
charge de famille
Les réductions d’impôt pour charge de famille sont appliquées d'après
les indications figurant sur les déclarations du revenu global pré",a_verifier
4133,Article 76,Code Général des Impôts 2026,"Article 76.- Réduction au titre des retraites de source étrangère
Les contribuables ayant au Maroc leur domicile fiscal au sens de
l'article 23 ci-dessus et titulaires de pensions de retraite ou d'ayants cause
de source ",a_verifier
4134,Article 77,Code Général des Impôts 2026,"Article 77.- Imputation de l’impôt étranger
Lorsque les revenus prévus à l'article 25 (3ème alinéa) ci-dessus ont été
soumis à un impôt sur le revenu dans le pays de la source avec lequel le
Maroc a conclu une convention",a_verifier
4135,Article 78,Code Général des Impôts 2026,"Article 78.- Déclaration d’identité fiscale
Les contribuables passibles de l'impôt sur le revenu au titre des revenus
visés à l'article 22 (3°, 4° , 5° et 6°470) ci-dessus, y compris ceux qui en
sont exonérés temporairem",a_verifier
4136,Article 79,Code Général des Impôts 2026,"Article 79.- Déclaration des traitements et salaires
I.- Les employeurs privés domiciliés ou établis au Maroc ainsi que les
administrations et autres personnes morales de droit public sont tenus de
remettre avant le 1er ",a_verifier
4137,Article 80,Code Général des Impôts 2026,"Article 80.- Obligations des employeurs et débirentiers
Les employeurs ou débirentiers chargés d'effectuer la retenue à la
source doivent tenir un livre spécial ou tout autre document en tenant lieu
où doivent être menti",a_verifier
4138,Article 81,Code Général des Impôts 2026,"Article 81.- Déclaration des pensions et autres prestations
servies sous forme de capital ou de rentes
I.- Les débirentiers domiciliés ou établis au Maroc sont tenus dans les
formes et délai prévus à l'article 79 ci-dess",a_verifier
4139,Article 82,Code Général des Impôts 2026,"Article 82.- Déclaration annuelle du revenu global
I.- Sous réserve des dispositions de l'article 86 ci-dessous, les
contribuables sont tenus d'adresser, par lettre recommandée avec accusé
de réception ou de remettre con",a_verifier
4140,Article 82 ter,Code Général des Impôts 2026,"Article 82 ter.- (abrogé)491
Article 82 quater492- Déclaration du chiffre d’affaires et des plus-
values réalisés par le contribuable dont le
revenu professionnel est déterminé selon le
régime de la contribution professi",a_verifier
4141,Article 83,Code Général des Impôts 2026,"Article 83.- Déclaration des profits fonciers494
I.- En ce qui concerne les cessions de biens immeubles ou de droits réels
s'y rattachant, les propriétaires, les usufruitiers et les redevables de
l’impôt doivent remettre",a_verifier
4142,Article 84,Code Général des Impôts 2026,"Article 84.- Déclaration des profits de capitaux mobiliers
I.- Les contribuables qui cèdent des valeurs mobilières et autres titres
de capital et de créance non inscrits en compte auprès d’intermédiaires
financiers habil",a_verifier
4143,Article 84 bis,Code Général des Impôts 2026,"Article 84 bis. - Déclaration des revenus et profits de capitaux
mobiliers de source étrangère507
Les contribuables qui disposent de revenus ou de profits de capitaux
mobiliers de source étrangère non soumis à la retenue",a_verifier
4144,Article 85,Code Général des Impôts 2026,"Article 85.- Déclaration en cas de départ du Maroc ou en cas de
décès
I.- Le contribuable qui cesse d'avoir au Maroc son domicile fiscal, est
tenu d'adresser, par lettre recommandée avec accusé de réception, ou de
remett",a_verifier
4145,Article 86,Code Général des Impôts 2026,"Article 86.- Dispense de la déclaration annuelle du revenu global
Ne sont pas tenus de produire la déclaration du revenu global, à moins
qu’ils ne s’estiment surtaxés ou prétendent aux déductions prévues aux
articles 28 ",a_verifier
4146,Article 87,Code Général des Impôts 2026,"Article 87.- Définition
La taxe sur la valeur ajoutée qui est une taxe sur le chiffre d'affaires
s'applique :
1°- aux opérations de nature industrielle, commerciale, artisanale
ou relevant de l'exercice d'une profession ",a_verifier
4147,Article 88,Code Général des Impôts 2026,"Article 88.- Principes gouvernant la notion de territorialité
Une opération est réputée faite au Maroc :
1°- s'il s'agit d'une vente, lorsque celle-ci est réalisée aux conditions
de livraison de la marchandise au Maroc ;",a_verifier
4148,Article 89,Code Général des Impôts 2026,"Article 89.- Opérations obligatoirement imposables
I.- Sont soumis à la taxe sur la valeur ajoutée :
1°- les ventes et les livraisons par les fabricants et les entrepreneurs
de manufacture de produits extraits, fabriqués",a_verifier
4149,Article 90,Code Général des Impôts 2026,"Article 90.- Opérations imposables par option
Peuvent sur leur demande, prendre la qualité d'assujettis à la taxe sur la
valeur ajoutée :
1°- les commerçants et les prestataires de services qui exportent
directement les ",a_verifier
4150,Article 91,Code Général des Impôts 2026,"Article 91.- Exonérations sans droit à déduction
Sont exonérées de la taxe sur la valeur ajoutée :
I.- A) Les ventes, autrement qu’à consommer sur place, portant sur :
1°- le pain, le couscous, les semoules, les pâtes al",a_verifier
4151,Article 92,Code Général des Impôts 2026,"Article 92.- Exonérations avec droit à déduction
I.- Sont exonérés de la taxe sur la valeur ajoutée avec bénéfice du
droit à déduction prévu à l'article 101 ci-dessous :
1°- les produits livrés et les prestations de serv",a_verifier
4152,Article 93,Code Général des Impôts 2026,"Article 93.- Conditions d’exonération
I.- Conditions d’exonération du logement social623
A-La superficie de logement social bénéficiant de l’exonération de la
T.V.A. en vertu de l’article 92-I-28° ci-dessus s’entend des ",a_verifier
4153,Article 94,Code Général des Impôts 2026,"Article 94.- Régime suspensif
I.- Les entreprises exportatrices de produits peuvent, sur leur demande
et dans la limite du montant du chiffre d'affaires réalisé au cours de l'année
écoulée au titre de leurs opérations d'",a_verifier
4154,Article 95,Code Général des Impôts 2026,"Article 95.- Fait générateur
Le fait générateur de la taxe sur la valeur ajoutée est constitué par
l'encaissement total ou partiel du prix des marchandises, des travaux ou des
services.
Toutefois, les contribuables qui e",a_verifier
4155,Article 96,Code Général des Impôts 2026,"Article 96.- Détermination de la base imposable
Le chiffre d'affaires imposable comprend le prix des marchandises642, des
travaux ou des services et les recettes accessoires qui s'y rapportent, ainsi
que les frais, droit",a_verifier
4156,Article 97,Code Général des Impôts 2026,"Article 97.- (abrogé)652
CHAPITRE III
TAUX DE LA TAXE",a_verifier
4157,Article 98,Code Général des Impôts 2026,Article 98.- (abrogé)653,a_verifier
4158,Article 99,Code Général des Impôts 2026,"Article 99.- Taux normal de la taxe654
Le taux de la taxe sur la valeur ajoutée est fixé à655 :
A.- 20 %656 ;
B.- 10 % :
1° - avec droit à déduction pour :
 les opérations d’hébergement et de restauration 657 ainsi que ",a_verifier
4159,Article 100,Code Général des Impôts 2026,"Article 100.- (abrogé)684
CHAPITRE IV
DEDUCTIONS ET REMBOURSEMENTS",a_verifier
4160,Article 101,Code Général des Impôts 2026,"Article 101.- Règle générale
1°- La taxe sur la valeur ajoutée qui a grevé les éléments du prix d'une
opération imposable est déductible de la taxe sur la valeur ajoutée applicable
à cette opération.
Les assujettis opère",a_verifier
4161,Article 102,Code Général des Impôts 2026,"Article 102.- Régime des biens amortissables
Les biens susceptibles d’amortissement éligibles au droit à déduction
doivent être inscrits dans un compte d’immobilisation et affectés à la
réalisation d’opérations soumises ",a_verifier
4162,Article 103,Code Général des Impôts 2026,"Article 103.- Remboursement
Sauf dans les cas énumérés ci-dessous 699, le crédit de taxe ne peut aboutir
à un remboursement, même partiel, de la taxe ayant grevé une opération
déterminée.
1° - Dans le cas d'opérations ré",a_verifier
4163,Article 103 bis,Code Général des Impôts 2026,"Article 103 bis.707 - Remboursement de la taxe sur la valeur
ajoutée sur les biens d’investissement
Les assujettis à la taxe sur la valeur ajoutée bénéficiant du droit à
déduction, à l’exclusion des établissements et ent",a_verifier
4164,Article 104,Code Général des Impôts 2026,"Article 104.- Montant de la taxe déductible ou remboursable
I.- Détermination du droit à déduction ou remboursement
La déduction ou le remboursement sont admis jusqu'à concurrence :
a) de la taxe dont le paiement à l'imp",a_verifier
4165,Article 105,Code Général des Impôts 2026,"Article 105.- Transfert du droit à déduction721
1°- Lorsque deux entreprises sont liées par un contrat pour la réalisation
d'un marché clé en mains et que le maître d’œuvre importe en son nom tout
ou partie des fournitur",a_verifier
4166,Article 106,Code Général des Impôts 2026,"Article 106.- Opérations exclues du droit à déduction
I.- N'ouvre pas droit à déduction, la taxe ayant grevé :
1° - les biens, produits, matières et services non utilisés pour les besoins
de l'exploitation ;
2° - les imm",a_verifier
4167,Article 107,Code Général des Impôts 2026,"Article 107.- Modalités de déclaration
I.- La taxe sur la valeur ajoutée est due par les personnes qui réalisent
les opérations situées obligatoirement ou par option dans le champ
d'application de la taxe.
L'imposition d",a_verifier
4168,Article 108,Code Général des Impôts 2026,"Article 108.- Périodicité de la déclaration
I.- Déclaration mensuelle
Sont obligatoirement imposés sous le régime de la déclaration mensuelle :
- les contribuables dont le chiffre d'affaires taxable réalisé au cours de
l",a_verifier
4169,Article 109,Code Général des Impôts 2026,"Article 109.- Déclaration d'existence
Toute personne assujettie à la taxe sur la valeur ajoutée doit souscrire au
service local des impôts dont elle dépend, la déclaration d'existence prévue
à l’article 148 ci-dessous.",a_verifier
4170,Article 110,Code Général des Impôts 2026,"Article 110.- Déclaration mensuelle
Les contribuables imposés sous le régime de la déclaration mensuelle
doivent déposer avant le vingt (20) de chaque mois auprès du receveur de
l’administration fiscale, une déclaration ",a_verifier
4171,Article 111,Code Général des Impôts 2026,"Article 111.- Déclaration trimestrielle
Les contribuables imposés sous le régime de la déclaration trimestrielle
doivent déposer, avant le vingt (20) du premier mois de chaque trimestre,
auprès du receveur de l’administr",a_verifier
4172,Article 112,Code Général des Impôts 2026,"Article 112.- Contenu de la déclaration et des pièces annexes
I.- La déclaration doit être faite selon un modèle739 établi par
l'administration, lequel comporte notamment :
1°- l'identité du contribuable ;
2°- le montant",a_verifier
4173,Article 113,Code Général des Impôts 2026,"Article 113.- Déclaration du prorata
Les contribuables effectuant concurremment des opérations taxables et des
opérations situées en dehors du champ d’application de la taxe ou exonérées
en vertu des dispositions de l’ar",a_verifier
4174,Article 113 bis,Code Général des Impôts 2026,"Article 113 bis – Déclaration du pourcentage de récupération745
Pour bénéficier du droit à déduction de la taxe sur la valeur ajoutée non
apparente prévue à l’article 125 ter ci-dessous, les personnes assujetties
sont te",a_verifier
4175,Article 114,Code Général des Impôts 2026,"Article 114.- Déclaration de cession, de cessation et de
transformation de la forme juridique de
l’entreprise
En cas de changement dans la personne du contribuable, pour quelque
cause que ce soit, de transfert ou de cess",a_verifier
4176,Article 115,Code Général des Impôts 2026,"Article 115.- Obligations des contribuables non- résidents 746
Toute personne n’ayant pas d’établissement au Maroc et y effectuant des
opérations imposables au profit d’un client établi au Maroc, doit accréditer
auprès d",a_verifier
4177,Article 115 bis,Code Général des Impôts 2026,"Article 115 bis.- Obligations des fournisseurs de services à
distance non-résidents 747
A défaut d’accréditation d’un représentant fiscal conformément aux
dispositions de l’article 115 ci-dessus, toute personne non résid",a_verifier
4178,Article 116,Code Général des Impôts 2026,"Article 116.- Retenue à la source sur le montant des commissions
allouées par les sociétés d’assurances à leurs
courtiers
La taxe due sur les services rendus par tout agent, démarcheur ou courtier
à raison des contrats a",a_verifier
4179,Article 117,Code Général des Impôts 2026,"Article 117.751- Retenue à la source
I- Retenue à la source sur les intérêts servis par les
établissements de crédit pour leur compte ou pour le compte
de tiers
La taxe sur la valeur ajoutée due sur les intérêts servis p",a_verifier
4180,Article 118,Code Général des Impôts 2026,"Article 118.- Règles comptables
Toute personne assujettie à la taxe sur la valeur ajoutée doit :
1°- tenir une comptabilité régulière permettant de déterminer le chiffre
d'affaires et de dégager le montant de la taxe don",a_verifier
4181,Article 119,Code Général des Impôts 2026,"Article 119.- Facturation
I.- Les personnes effectuant les opérations soumises à la taxe sur la
valeur ajoutée sont tenues de délivrer à leurs acheteurs ou clients passibles
de ladite taxe des factures établies conformém",a_verifier
4182,Article 120,Code Général des Impôts 2026,"Article 120.- Compétence
L’application de la taxe sur la valeur ajoutée à l’importation incombe à
l’administration des douanes et impôts indirects, conformément aux
dispositions du présent code.",a_verifier
4183,Article 121,Code Général des Impôts 2026,"Article 121.- Fait générateur et assiette
Le fait générateur de la taxe sur la valeur ajoutée est constitué, à
l'importation, par le dédouanement des marchandises.
Le taux de la taxe est fixé à 20 % ad valorem.
Ce taux e",a_verifier
4184,Article 122,Code Général des Impôts 2026,"Article 122.- Liquidation
La taxe est liquidée et perçue, les contraventions sont constatées et
réprimées, les poursuites sont effectuées et les instances sont introduites,
instruites et jugées comme en matière de droits",a_verifier
4185,Article 123,Code Général des Impôts 2026,"Article 123.- Exonérations
Sont exonérés de la taxe sur la valeur ajoutée à l'importation :
1°- les marchandises visées à l'article 91 (I-A-1°, 2°, 3°, 8°767, 9°768 et
10°769) ci-dessus à l’exclusion du maïs et de l’orge",a_verifier
4186,Article 124,Code Général des Impôts 2026,"Article 124.- Modalités d’exonérations
I.- Les exonérations prévues aux articles 91- I (E (2° et 4°))817, 92–I
(5°818, 6°, 7°, 8°,9°,10°, 12°, 13°, 14°, 15°, 16°, 17°, 20°, 21°, 22°, 23°,
24°, 25°, 29°, 32°, 33°, 34°, 35",a_verifier
4187,Article 125,Code Général des Impôts 2026,"Article 125.- Affectation du produit de la taxe sur la valeur
ajoutée836 et mesures transitoires
I.- Le produit de la taxe sur la valeur ajoutée est pris en recette, au
budget général de l'Etat et, dans une proportion ne",a_verifier
4188,Article 125 bis,Code Général des Impôts 2026,"Article 125 bis. - Régime particulier applicable aux biens
d’occasion 844
Les opérations de vente et de livraison de biens d’occasion sont soumises
à la taxe sur la valeur ajoutée dans les conditions prévues à l’article ",a_verifier
4189,Article 125 ter,Code Général des Impôts 2026,"Article 125 ter.-845 Récupération de la taxe sur la valeur ajoutée
non apparente
Par dérogation aux dispositions des articles 101 et 104 ci-dessus, ouvre
droit à déduction la taxe sur la valeur ajoutée non apparente sur ",a_verifier
4190,Article 125 quater,Code Général des Impôts 2026,"Article 125 quater.- Régimes applicables aux agences de
voyage851
Par dérogation aux dispositions de l’article 92 (I-1°) ci-dessus, les opérations
réalisées par les agences de voyage installées au Maroc et destinées à
l’",a_verifier
4191,Article 125 quinquies,Code Général des Impôts 2026,"Article 125 quinquies. - Régime particulier d’auto-liquidation852
I. - Par dérogation aux dispositions des articles 87, 89 et 91 ci-dessus, le
client assujetti, à l’exclusion des entreprises industrielles de transformati",a_verifier
4192,Article 126,Code Général des Impôts 2026,"Article 126.- Définition et effets de la formalité de
l’enregistrement
I.- Définition de la formalité de l’enregistrement
L’enregistrement est une formalité à laquelle sont soumis les actes et
conventions. Il donne lieu ",a_verifier
4193,Article 126 bis,Code Général des Impôts 2026,"Article 126 bis. 855- Territorialité
Sont soumis à la formalité de l’enregistrement dans les termes de l’article
127 ci-après :
- les actes et conventions établis au Maroc ;
855 Article 7 de la loi de finances n° 80-18 p",a_verifier
4194,Article 127,Code Général des Impôts 2026,"Article 127.- Actes et conventions imposables
I.- Enregistrement obligatoire
Sont obligatoirement assujettis à la formalité et aux droits
d'enregistrement, alors même qu’à raison du vice de leur forme ils
seraient sans v",a_verifier
4195,Article 128,Code Général des Impôts 2026,"Article 128.- Délais d’enregistrement
I.- Sont assujettis à l’enregistrement et au paiement des droits dans le
délai de trente (30) jours :
A.- A compter de leur date :
- les actes et les conventions énumérés à l’article",a_verifier
4196,Article 129,Code Général des Impôts 2026,"Article 129.- Exonérations
Sont exonérés des droits d’enregistrement :
I.- Actes présentant un intérêt public :
1°- les acquisitions par les Etats étrangers d'immeubles destinés à
l'installation de leur représentation di",a_verifier
4197,Article 130,Code Général des Impôts 2026,"Article 130.- Conditions d’exonération
I.- (abrogé)936
II.- L’exonération prévue à l’article 129- IV- 2° ci-dessus est acquise
aux conditions suivantes :
A.- Les promoteurs immobiliers doivent réaliser leurs opérations d",a_verifier
4198,Article 131,Code Général des Impôts 2026,"Article 131.- Base imposable
Pour la liquidation des droits, la valeur de la propriété, de la nue-propriété,
de l'usufruit et de la jouissance des biens meubles et immeubles et, d’une
manière générale, la base imposable ",a_verifier
4199,Article 132,Code Général des Impôts 2026,"Article 132.- Liquidation de l’impôt
I.- Les droits d’enregistrement sont applicables, selon les motifs des
conventions et les obligations qu'elles imposent, aux actes et déclarations
soumis obligatoirement à l’enregistr",a_verifier
4200,Article 133,Code Général des Impôts 2026,"Article 133.- Droits proportionnels
I.- Taux applicables956
A.- Sont soumis au taux de 6% :
1°- les actes et conventions prévus à l’article 127 (I-A-1-b))957 ci-
dessus ;
2°- (abrogé) 958
955 Articles 7 et 8 des lois de ",a_verifier
4201,Article 134,Code Général des Impôts 2026,"Article 134.- Conditions d’application des taux réduits
I.- (abrogé)994
II.- (abrogé)995
III.- Pour l’application du taux réduit de 1,50% 996 prévu à l’article 133
(I- C- 9°) ci- dessus, le co-indivisaire doit avoir cett",a_verifier
4202,Article 135,Code Général des Impôts 2026,"Article 135.- Droit fixe
I- Sont enregistrées au droit fixe de mille (1.000) dirhams :
1°-Sous réserve des dispositions prévues à l’article 129 (IV-23°) ci-
dessus997, les constitutions et les augmentations de capital de",a_verifier
4203,Article 136,Code Général des Impôts 2026,"Article 136.- Obligations des parties contractantes
I.- A défaut d’actes et sous réserve des dispositions du III ci-après, les
conventions visées à l’article 127-I-A ci-dessus doivent faire l’objet de
déclarations détail",a_verifier
4204,Article 137,Code Général des Impôts 2026,"Article 137.- Obligations des notaires, des adoul, des cadi
chargés du taoutiq et des secrétaires greffiers1017
I.- Obligations des notaires
Les notaires sont tenus de faire figurer dans les contrats les indications et
l",a_verifier
4205,Article 138,Code Général des Impôts 2026,"Article 138.- Obligations des inspecteurs des impôts chargés de
l’enregistrement
I.- L’enregistrement des actes et déclarations doit être fait jour par
jour et successivement, au fur et à mesure de leur présentation.
Les",a_verifier
4206,Article 139,Code Général des Impôts 2026,"Article 139.- Obligations communes
I.- Nonobstant toutes dispositions contraires, il ne peut être reçu par
le conservateur de la propriété foncière1026, aux fins d’immatriculation ou
d’inscription sur les livres fonciers",a_verifier
4207,Article 140,Code Général des Impôts 2026,"Article 140.- Moyens de preuve
Dans les instances relatives à l'application des droits d'enregistrement et
contrairement à l'article 404 du Code des obligations et contrats, le
serment ne peut être déféré par le juge, la",a_verifier
4208,Article 141,Code Général des Impôts 2026,"Article 141.- Présomptions de mutation
I.- La mutation des immeubles et des droits réels immobiliers est
suffisamment établie pour la demande des droits d'enregistrement, soit
par l'inscription du nouveau possesseur aux ",a_verifier
4209,Article 142,Code Général des Impôts 2026,"Article 142.- Nullité des contre-lettres
Est nulle et de nul effet toute contre-lettre, toute convention ayant pour
but de dissimuler partie du prix d’une vente d’immeuble, d’un fonds de
commerce, d’une cession de client",a_verifier
4210,Article 143,Code Général des Impôts 2026,"Article 143.- Droit de préemption au profit de l’Etat
Indépendamment du droit de contrôle prévu à l'article 217 ci-dessous, le
ministre chargé des finances ou la personne déléguée par lui à cet effet peut
exercer, au pro",a_verifier
4211,Article 144,Code Général des Impôts 2026,"Article 144.- Cotisation minimale
I.- Cotisation minimale en matière d’impôt sur les sociétés et d’impôt
sur le revenu au titre des revenus professionnels et agricoles1039
A.- Définition
La cotisation minimale est un min",a_verifier
4212,Article 145,Code Général des Impôts 2026,"Article 145.- Tenue de la comptabilité
I.- Les contribuables doivent tenir une comptabilité conformément à la
législation et la réglementation en vigueur, de manière à permettre à
l’administration d’exercer les contrôles",a_verifier
4213,Article 145 bis,Code Général des Impôts 2026,Article 145 bis- (abrogé)1069,a_verifier
4214,Article 146,Code Général des Impôts 2026,"Article 146.- Pièces justificatives de dépenses
Tout achat de biens ou services effectué par un contribuable auprès d'un
fournisseur soumis à la taxe professionnelle1070 doit être réellement
réalisé1071 et doit être just",a_verifier
4215,Article 146 bis,Code Général des Impôts 2026,"Article 146 bis- Pièces justificatives des achats pour le
contribuable dont le revenu professionnel est
déterminé selon le régime de la contribution
professionnelle unique 1076
Les contribuables dont les revenus professi",a_verifier
4216,Article 147,Code Général des Impôts 2026,"Article 147.- Obligations des entreprises non résidentes
I.- Les entreprises dont le siège est situé à l'étranger et qui ont au
Maroc une activité permanente doivent tenir, au lieu de leur principal
établissement au Maro",a_verifier
4217,Article 148,Code Général des Impôts 2026,"Article 148.- Déclaration d’existence
I.- Les contribuables, qu’ils soient imposables à l’impôt sur les sociétés
ou à l’impôt sur le revenu au titre de revenus professionnels ou qu’ils en
soient exonérés ainsi que les co",a_verifier
4218,Article 149,Code Général des Impôts 2026,"Article 149.- Déclaration de transfert de siège social ou
changement de domicile fiscal1085
Les entreprises, qu’elles soient imposables à l’impôt sur les sociétés ou à
l’impôt sur le revenu ou à la taxe sur la valeur ajo",a_verifier
4219,Article 150,Code Général des Impôts 2026,"Article 150.- Déclaration de cessation, cession, fusion, scission
ou transformation de l’entreprise
I.- Les contribuables, qu’ils soient imposables à l’impôt sur les sociétés
ou à l’impôt sur le revenu ou qu’ils en soien",a_verifier
4220,Article 150 bis,Code Général des Impôts 2026,"Article 150 bis.- Déclaration de cessation temporaire
d'activité1094
Nonobstant toute disposition contraire, les entreprises qu’elles soient
imposables à l’impôt sur les sociétés ou à l’impôt sur le revenu au titre de
le",a_verifier
4221,Article 151,Code Général des Impôts 2026,"Article 151.- Déclaration des rémunérations allouées à des tiers
et des produits de location1095
I.- Toute entreprise exerçant une activité au Maroc, y compris les
sociétés non résidentes ayant opté pour l'imposition for",a_verifier
4222,Article 152,Code Général des Impôts 2026,"Article 152.- Déclaration des produits des actions, parts sociales
et revenus assimilés
I- Les contribuables qui versent, mettent à la disposition ou inscrivent
en compte des produits des actions, parts sociales et reven",a_verifier
4223,Article 153,Code Général des Impôts 2026,"Article 153.- Déclaration des produits de placements à revenu
fixe et des revenus des certificats de Sukuk1113
Les contribuables qui versent, mettent à la disposition ou inscrivent en
compte les produits de placements à ",a_verifier
4224,Article 154,Code Général des Impôts 2026,"Article 154.- Déclaration des rémunérations versées à des
personnes non résidentes
Les contribuables résidant ou ayant une profession au Maroc et qui
versent, mettent à la disposition ou inscrivent en compte des personne",a_verifier
4225,Article 154 bis,Code Général des Impôts 2026,"Article 154 bis.1119 - Déclaration des revenus fonciers versés à
des personnes physiques par des personnes
morales de droit public ou privé ainsi que par des
personnes physiques dont les revenus
professionnels sont déter",a_verifier
4226,Article 154 ter,Code Général des Impôts 2026,"Article 154 ter.1120 - Déclaration pays par pays
I.- Toute entreprise soumise à l’impôt sur les sociétés au Maroc et
remplissant les conditions du deuxième alinéa ci-après, est tenue de déposer
auprès de l’administration",a_verifier
4227,Article 154 quater,Code Général des Impôts 2026,"Article 154 quater. - Déclaration des gains de jeux de hasard par
internet de source étrangère1122
Les personnes visées à l’article 160 ter ci-dessous doivent souscrire, par
procédé électronique, auprès de l’administrati",a_verifier
4228,Article 155,Code Général des Impôts 2026,"Article 155.- Télédéclaration
I.- Les contribuables soumis à l’impôt peuvent souscrire auprès de
l’Administration fiscale par procédés électroniques les déclarations visées
au présent code et ce, dans les conditions fixé",a_verifier
4229,Article 156,Code Général des Impôts 2026,"Article 156.- Retenue à la source par les employeurs et les
débirentiers sur les salaires et rentes viagères
I.- La retenue à la source au titre des revenus salariaux définis à
l’article 56 ci-dessus doit être opérée par",a_verifier
4230,Article 157,Code Général des Impôts 2026,"Article 157.- Retenue à la source sur les rémunérations allouées
à des tiers et les produits de location1140
I.- La retenue à la source sur les rémunérations allouées à des tiers
prévues à l’article 15 bis ci-dessus et s",a_verifier
4231,Article 158,Code Général des Impôts 2026,"Article 158.- Retenue à la source sur les produits des actions,
parts sociales et revenus assimilés
La retenue à la source sur les produits énumérés à l’article 13 ci-dessus
doit être opérée, pour le compte du trésor, pa",a_verifier
4232,Article 159,Code Général des Impôts 2026,"Article 159.- Retenue à la source sur les produits de placements
à revenu fixe et sur les revenus des certificats de
Sukuk1145
I.1146-La retenue à la source sur les produits de placements à revenu
fixe et les revenus des",a_verifier
4233,Article 160,Code Général des Impôts 2026,"Article 160.- Retenue à la source sur les produits bruts perçus
par les personnes physiques ou morales non
résidentes
I.- La retenue à la source sur les produits bruts énumérés à l’article 15
ci-dessus, doit être opérée ",a_verifier
4234,Article 160 ter,Code Général des Impôts 2026,"Article 160 ter. - Retenue à la source sur les gains de jeux de
hasard par internet de source étrangère1153
Les établissements de crédit et organismes assimilés ou toute personne
qui verse ou intervient dans le paiement ",a_verifier
4235,Article 160 quater,Code Général des Impôts 2026,"Article 160 quater.- Retenue à la source sur les montants versés
suite au transfert de propriété d’immeubles et
droits réels immobiliers en exécution d’une
décision judiciaire 1154
Les personnes intervenant dans le paiem",a_verifier
4236,Article 161,Code Général des Impôts 2026,"Article 161.- Plus-values constatées ou réalisées en cours ou en
fin d'exploitation
I.- (abrogé)1155
II.- Les indemnités perçues en contrepartie de la cessation de
l'exercice de l'activité ou du transfert de la clientèle",a_verifier
4237,Article 161 bis,Code Général des Impôts 2026,"Article 161 bis.- Régime d’incitation fiscale aux opérations de
restructuration des groupes de sociétés et des
entreprises1165
I.- Les opérations de transfert des immobilisations corporelles,
incorporelles et financières",a_verifier
4238,Article 161 ter,Code Général des Impôts 2026,"Article 161 ter- Régime incitatif applicable aux opérations
d’apport du patrimoine1189 et aux opérations
d’apport des titres de capital à une société
holding1190
I.- Les personnes physiques exerçant à titre individuel, e",a_verifier
4239,Article 161 quater,Code Général des Impôts 2026,"Article 161 quater.- Régime incitatif applicable aux opérations
d’apport des éléments d’actif et de passif
des associations de microfinance à une
société anonyme1192
Nonobstant toutes dispositions contraires, les associa",a_verifier
4240,Article 161 quinquies,Code Général des Impôts 2026,"Article 161 quinquies.1193- Régime incitatif applicable aux
opérations d’apport des biens
immeubles à un O.P.C.I.
A- Par dérogation aux dispositions des articles 8, 33-II et 38-II ci-
dessus, les personnes morales soumis",a_verifier
4241,Article 162,Code Général des Impôts 2026,"Article 162.- Régime particulier des fusions des sociétés
I.- (abrogé)1194
II.-1195A-1196Sous réserve des conditions prévues ci-après et par
dérogation aux dispositions de l’article 9 ci-dessus, les sociétés fusionnées
o",a_verifier
4242,Article 163,Code Général des Impôts 2026,"Article 163.- Computation des délais et taux en vigueur
I.- Computation des délais
Pour la computation des délais prévus au présent code, le jour qui est le
point de départ du délai n’est pas compté. Le délai se termine ",a_verifier
4243,Article 164,Code Général des Impôts 2026,"Article 164.- Octroi des avantages fiscaux
I.- Pour bénéficier des exonérations prévues au présent code1203, les
entreprises doivent disposer de l’identifiant commun de l’entreprise prévu
à l’article 145-VIII ci-dessus12",a_verifier
4244,Article 164 bis,Code Général des Impôts 2026,"Article 164 bis- Traitement préférentiel1209
Peuvent bénéficier d’un traitement préférentiel, de leurs dossiers auprès
de l’administration fiscale, les contribuables catégorisés dans les
conditions fixées par voie réglem",a_verifier
4245,Article 165,Code Général des Impôts 2026,"Article 165.- (abrogé)1210
1206 Article 8 de la loi de finances n° 38-07 pour l’année budgétaire 2008
1207 Article 8 de la loi de finances n° 70-15 pour l’année budgétaire 2016
1208 Article 6 de la loi de finances n° 73-",a_verifier
4246,Article 166,Code Général des Impôts 2026,"Article 166.- Conditions et modalités de recouvrement
Le recouvrement des impôts, droits, taxes et autres créances dont le
receveur de l’administration fiscale est chargé en vertu des lois et
règlements en vigueur, est e",a_verifier
4247,Article 167,Code Général des Impôts 2026,"Article 167.- Arrondissement du montant de l’impôt
Le résultat fiscal, le revenu imposable, le chiffre d’affaires et les
sommes et valeurs servant de base au calcul de l’impôt ou de la taxe sont
arrondis à la dizaine de ",a_verifier
